"Checkbox","Prebook Description","Special Order Qty","Item No","Substituted Item","Qty","Order Multiple","Average Sales Last 4 Weeks","On Hold","Promotion Lift %","Wholesale Discount %","Retail Price","Net Wholesale Price","Wholesale Price","Order Line Type","DMIN Default","OSTAT New","NAV Order No","Days Until out of Stock","Days in Stock","Average Sales Last 13 Weeks","Allowed Dmin Change","Life Cycle Status","Line Up Status","Sales Last Week","Forecast for Order Period","4 Week Forecast","Days in Stock Order","Special Order No","Un-Scheduled Order","Web Title","Forecast + Safety Stock","Promotional Demand","Label","Pet Size","Life Stage","Product Type","Merchandise Division","Department","Category","Sub-Category","Undelivered","Constrained","Brand","DMIN New","DMAX New","Order Id","Item Id","Store No","Store","Warehouse No","Order Date","Picking Date","Est. Delivery Date","Warehouse","Extended Net Wholesale Price","Extended Retail Price","Transferred Date","Created","Constrained Recommended Qty","Item Description","UnConstrained Qty","Qty On Hand","Weight","Volume","Pallets","Open sales order quantity","Order Period","Order Exceptions","Days until safety stock on hand","Original Item No","Purchase Units","In Promotion","Additional Lead Time","Cost of Sales Last Week","End of order period","Comment","NBO","Gross Margin %","WOSUnconstrained","WOSconstrained","Wholesale Gross Margin %","Order Qty Last Week","Stock Total"
"","","","1000193","38109","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0.02","0.0758","0","","false","","6","0","PRIVATE LABEL","","ALL","LIMITED INGREDIENTS","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","60587","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG LID CK&SP SMP 4oz","0","6","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000199","38110","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0.02","0.0924","0","","false","","14","0","PRIVATE LABEL","","ADULT","NATURAL/HOLISTIC","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","64040","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG CKN&R SMP 4OZ","0","14","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000203","38106","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0.01","0.0227","0","","false","","15","0","PRIVATE LABEL","","ALL","GRAIN-FREE","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","66328","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG GF FTHL SMP 4oz","0","15","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000206","38124","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0","0.0045","0","","false","","4","0","PRIVATE LABEL","SMALL","ALL","GRAIN-FREE","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","68033","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG GF FTHL SB SMP 4oz","0","4","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000211","38101","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0","0.0132","0","","false","","15","0","PRIVATE LABEL","","ADULT","GRAIN-FREE","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","70906","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG GF SMP 4oz","0","15","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000213","38102","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0","0.0167","0","","false","","1","0","PRIVATE LABEL","SMALL","ALL","GRAIN-FREE","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","72018","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG GF SMBT SMP 4oz","0","1","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000217","38115","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0.02","0.0664","0","","false","","13","0","PRIVATE LABEL","","ADULT","NATURAL/HOLISTIC","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","74302","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG GF HWGT SMP 4oz","0","13","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000221","38105","0","1","1","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0.31","All","LST","REG-1","0","0.06","0.1917","0","","false","","9","0","PRIVATE LABEL","","ALL","NATURAL/HOLISTIC","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","76574","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG L&R SMP 4OZ","0","9","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","29","29","96.6443","",""
"","","","1000224","38103","0","1","0.25","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0.08","All","LST","REG-1","0","0.01","0.0378","0","","false","","15","0","PRIVATE LABEL","","ADULT","GRAIN-FREE","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","78261","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG GF LRGB SMP 4OZ","0","15","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","52","52","96.6443","",""
"","","","1000228","38125","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0.01","0.0457","0","","false","","3","0","PRIVATE LABEL","","ALL","LIMITED INGREDIENTS","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","80552","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG LID DUCK SMP 4oz","0","3","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
